objectid,lad17cd,lad17nm,lad17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
351,S12000038,Renfrewshire, ,239305,664698,-4.56833982,55.84862137,261487655.6,131630.7834
352,S12000039,West Dunbartonshire, ,242904,681587,-4.52074003,56.00141144,177306047.9,100567.9766
353,S12000040,West Lothian, ,299483,668514,-3.60909009,55.89920044,428772095.9,134896.6189
354,S12000041,Angus, ,345518,759594,-2.89189005,56.72480011,2185172676,319856.7378
355,S12000042,Dundee City, ,340291,732145,-2.97094989,56.4776001,59830969.44,46805.9626
356,S12000044,North Lanarkshire, ,277984,665608,-3.95140004,55.86814117,472216142.9,164226.5948
357,S12000045,East Dunbartonshire, ,261240,676154,-4.22417021,55.9582901,174489016.8,99603.03071
358,S12000046,Glasgow City, ,261534,667033,-4.21478987,55.87649155,174705533.6,136108.2771
359,W06000001,Isle of Anglesey,Ynys Môn,245222,378346,-4.32290983,53.27944946,714458085.9,361684.6038
360,W06000002,Gwynedd,Gwynedd,277968,334967,-3.8155899,52.89825821,2548075153,585237.6443
361,W06000003,Conwy,Conwy,283293,362562,-3.74645996,53.14738846,1130191391,273510.9329
362,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.08832932,838544271.5,228400.9775
363,W06000005,Flintshire,Sir y Fflint,321564,369303,-3.17604995,53.21498108,437490023.6,197537.2849
364,W06000006,Wrexham,Wrecsam,333523,345387,-2.99202991,53.00167084,503773486.6,190056.9439
365,W06000008,Ceredigion,Ceredigion,267126,268437,-3.94993997,52.29795074,1789001593,373806.6836
366,W06000009,Pembrokeshire,Sir Benfro,199821,221391,-4.90818024,51.85512161,1618677383,726409.5614
367,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111001,51.89495087,2371133061,564480.6888
368,W06000011,Swansea,Abertawe,264022,197308,-3.96723008,51.65805817,379659110.3,271926.4526
369,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638009,51.64450073,442335439.1,172778.836
370,W06000013,Bridgend,Pen-y-bont ar Ogwr,288242,185868,-3.61359,51.56058121,250730335.7,90598.13585
371,W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173083,-3.39803004,51.44837952,331192712.9,106758.4825
372,W06000015,Cardiff,Caerdydd,315270,178887,-3.22212005,51.50254059,142287247,79678.49069
373,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41358995,51.62184906,424150424.9,130240.6817
374,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753003,51.65000916,277387812.9,116205.7432
375,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.75363922,108728054.4,65601.73361
376,W06000020,Torfaen,Torfaen,327459,200480,-3.05100989,51.69836044,126239928.8,82544.79379
377,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.90280008,51.77827072,850271715.6,223993.1469
378,W06000022,Newport,Casnewydd,337897,187433,-2.89769006,51.58232117,190524786,153277.2978
379,W06000023,Powys,Powys,302328,273254,-3.43532991,52.348629,5195320916,610110.6534
380,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36424994,51.74858093,111957017.2,66696.94613
